"studyYear","locationName","studyName","plantingDate","harvestDate","Nhav"
2019,"Abuja","19.CMSSurveyVarieties.AYT.40.AB","2019-August-14",NA,0
2019,"Abuja","19.GS.C2.UYT.36.setA.AB","2019-June-19","2020-July-28",61
2019,"Abuja","19.GS.C2.UYT.36.setB.AB","2019-June-19","2020-July-30",72
2019,"Abuja","19.GS.C4B.PYT.160.AB","2019-August-14",NA,0
2019,"Abuja","19NCRP12yrtAB","2019-June-18",NA,36
2019,"Abuja","19NCRPAB","2019-July-18",NA,0
2019,"Ago-Owu","19.East-africa.PYT.16.AG",NA,NA,0
2019,"Ago-Owu","19.GS.C1.C2.C3.AYT.42.AG","2019-July-09","2020-July-02",82
2019,"Ago-Owu","19.GS.C2.UYT.36.setA.AG","2019-June-01","2020-June-01",72
2019,"Ago-Owu","19.GS.C2.UYT.36.setB.AG","2019-June-01","2020-June-24",72
2019,"Ago-Owu","19.GS.C3.AYT.20.EB.AG","2019-May-25","2020-June-16",40
2019,"Ago-Owu","19.GS.C3.UYT.28.AG","2019-September-22","2020-September-22",56
2019,"Ago-Owu","19.GS.C3B.AYT.21.PD.AG","2019-May-25","2020-June-18",42
2019,"Ago-Owu","19.GS.C4.AYT30.AG","2019-September-09",NA,0
2019,"Ago-Owu","19.GS.C4.PYT.80.SETA.AG","2019-September-10",NA,0
2019,"Ago-Owu","19.GS.C4.PYT.80.SETB.AG","2019-September-10",NA,0
2019,"Ago-Owu","19.GS.C4B.PYT.78.AG","2019-July-16",NA,0
2019,"Ago-Owu","19.GS.C4B.PYT.88.AG","2019-July-16",NA,176
2019,"Ago-Owu","19NCRP12yrtAG","2019-July-11",NA,0
2019,"Ago-Owu","19NCRPAG","2019-June-02",NA,0
2019,"Ibadan","18.GS.C3B.AYT.40.IB","2018-June-28","2019-June-28",116
2019,"Ibadan","19.CIAT_Harvestplus.SN.IB","2019-March-04","2020-March-04",0
2019,"Ibadan","19.CMSSurveyVarieties.AYT.33.IB","2019-April-29",NA,58
2019,"Ibadan","19.GS.C2.UYT.36.setA.IB","2019-May-16","2020-April-20",67
2019,"Ibadan","19.GS.C2.UYT.36.setB.IB","2019-May-16","2020-April-28",65
2019,"Ibadan","19.GS.C4.AYT.30.IB","2019-September-09","2020-August-18",60
2019,"Ibadan","19.GS.C4B.PYT.132.IB","2019-October-28",NA,0
2019,"Ibadan","19.GS.C4B.PYT.140.IB","2019-August-16",NA,0
2019,"Ibadan","19.GS.C4C.CE.420.IB","2019-September-11",NA,0
2019,"Ibadan","19.GS.C4C.CE.822.IB","2019-October-11",NA,0
2019,"Ibadan","19.GS.C4C.SN.IB","2019-February-11",NA,0
2019,"Ibadan","19.Harvestplus.SN.IB","2019-March-04",NA,0
2019,"Ibadan","19.Hawaii.PYT.54.IB","2019-December-20",NA,0
2019,"Ibadan","19.Hawaii.PYT.60.IB","2019-December-18",NA,0
2019,"Ibadan","19ayt12PDIB","2019-July-26",NA,0
2019,"Ibadan","19ayt16ppdIB","2019-December-16",NA,0
2019,"Ibadan","19ayt18highYldIB","2019-March-27",NA,54
2019,"Ibadan","19ayt20highTCIB","2019-May-03",NA,59
2019,"Ibadan","19ayt23ppdIB","2019-December-06",NA,0
2019,"Ibadan","19ayt28highDMIB","2019-March-27",NA,83
2019,"Ibadan","19ayt30highTCIB","2019-September-20",NA,0
2019,"Ibadan","19cet30PdIB","2019-November-25",NA,0
2019,"Ibadan","19cet586highTCIB","2019-November-11",NA,0
2019,"Ibadan","19cet72selflineIB","2019-November-25",NA,0
2019,"Ibadan","19pyt10highTCIB","2019-May-10",NA,0
2019,"Ibadan","19pyt10yrtIB","2019-May-03",NA,20
2019,"Ibadan","19pyt15pdexpdIB","2019-March-26",NA,30
2019,"Ibadan","19pyt15yrthighDMIB","2019-March-19",NA,30
2019,"Ibadan","19pyt16PDIB","2019-July-26",NA,0
2019,"Ibadan","19pyt19yrtpdIB","2019-September-16",NA,0
2019,"Ibadan","19pyt20pdIB","2019-March-19",NA,40
2019,"Ibadan","19pyt24highTCexpIB","2019-September-20",NA,0
2019,"Ibadan","19pyt27highTCIB","2019-August-07",NA,0
2019,"Ibadan","19pyt30yrtHDMIB","2019-August-07",NA,0
2019,"Ibadan","19pyt36highTCIB","2019-September-27",NA,0
2019,"Ibadan","19pyt40highTC2IB","2019-September-27",NA,0
2019,"Ibadan","19pyt40highTCIB","2019-August-07",NA,0
2019,"Ibadan","19pyt42HTCbulkIB","2019-July-25",NA,0
2019,"Ibadan","19pyt48highTCIB","2019-October-21",NA,0
2019,"Ibadan","19pyt57highTCIB","2019-November-15",NA,0
2019,"Ibadan","19pyt64highTCIB","2019-November-01",NA,0
2019,"Ibadan","19uyt12highTCIB","2019-September-04",NA,0
2019,"Ibadan","19uyt12ppdIB","2019-January-05",NA,0
2019,"Ikenne","18.MP10.MP11.AYT20.IK","2018-September-26","2019-September-26",0
2019,"Ikenne","18.MP9.AYT28.IK","2018-September-24","2019-September-24",0
2019,"Ikenne","19.CASS.PYT.52.IK","2019-June-25",NA,98
2019,"Ikenne","19.CMSSurveyVarieties.AYT33.IK","2019-October-17",NA,0
2019,"Ikenne","19.GS.C2.UYT.36.setA.IK","2019-June-01","2020-June-15",72
2019,"Ikenne","19.GS.C2.UYT.36.setB.IK","2019-June-01","2020-June-17",72
2019,"Ikenne","19.GS.C3.AYT.20.EB.IK","2019-May-25",NA,0
2019,"Ikenne","19.GS.C3.UYT.28.IK","2019-September-22","2020-August-17",56
2019,"Ikenne","19.GS.C4.AYT.30.IK","2019-September-21","2020-August-19",56
2019,"Ikenne","19.GS.C4.PYT.80.SETA.IK","2019-September-10",NA,0
2019,"Ikenne","19.GS.C4.PYT.80.SETB.IK","2019-September-10",NA,0
2019,"Ikenne","19.GS.C4B.PYT.132.IK","2019-October-26",NA,0
2019,"Ikenne","19.GS.C4B.PYT.135.IK","2019-July-18","2020-July-29",207
2019,"Ikenne","19.GS.C4B.PYT.500.IK","2019-August-04",NA,0
2019,"Ikenne","19.GS.C4B.PYT.78.IK","2019-June-16",NA,0
2019,"Ikenne","19.GS.C4B.PYT.88.IK","2019-June-16",NA,0
2019,"Ikenne","19.Gstock.PYT136.IK","2019-February-12",NA,0
2019,"Ikenne","19.Hawaii.PYT.54.IK","2019-December-20",NA,0
2019,"Ikenne","19.Hawaii.PYT.60.IK","2019-December-18",NA,0
2019,"Ikenne","19ayt20highTCIK","2019-April-18",NA,0
2019,"Ikenne","19NCRP12yrtIK","2019-June-14",NA,0
2019,"Ikenne","19NCRPIK","2019-August-04",NA,0
2019,"Mokwa","19.East-africa.PYT.16.MK",NA,NA,0
2019,"Mokwa","19.GS.C2.UYT.36.setA.MK","2019-June-27","2020-June-27",71
2019,"Mokwa","19.GS.C2.UYT.36.setB.MK","2019-June-27","2020-May-18",72
2019,"Mokwa","19.GS.C3.AYT.20.EB.MK","2019-June-12","2020-June-29",56
2019,"Mokwa","19.GS.C3B.AYT.21.PD.MK","2019-June-12","2020-June-12",57
2019,"Mokwa","19.GS.C4B.PYT.78.MK","2019-July-18",NA,153
2019,"Mokwa","19.GS.C4B.PYT.88.MK","2019-July-18",NA,175
2019,"Mokwa","19ayt20highTCMK","2019-June-19",NA,0
2019,"Mokwa","19NCRP12yrtMK","2019-June-18",NA,0
2019,"Mokwa","19NCRPMK","2019-July-22",NA,0
2019,"Ubiaja","19.East-africa.PYT.16.UB",NA,NA,0
2019,"Ubiaja","19.GS.C1.C2.C3.AYT.42.UB","2019-July-09","2020-July-20",82
2019,"Ubiaja","19.GS.C2.UYT.36.setA.UB","2019-June-01","2020-June-04",72
2019,"Ubiaja","19.GS.C2.UYT.36.setB.UB","2019-June-01","2020-June-08",72
2019,"Ubiaja","19.GS.C3.AYT.20.EB.UB","2019-May-28","2020-June-08",60
2019,"Ubiaja","19.GS.C3B.AYT.21.PD.UB","2019-May-28","2020-June-09",63
2019,"Ubiaja","19.GS.C4B.PYT.135.UB","2019-July-18","2020-July-22",266
2019,"Ubiaja","19ayt20highTCUB","2019-May-16",NA,0
2019,"Ubiaja","19geneticgainUB","2019-June-18",NA,0
2019,"Ubiaja","19geneticgainUB_old","2019-June-18",NA,0
2019,"Ubiaja","19NCRP12yrtUB","2019-May-12",NA,0
2019,"Ubiaja","19NCRPUB","2019-July-18",NA,0
2019,"Zaria","19.GS.C2.UYT.36.setA.ZA","2019-June-24","2020-August-04",68
2019,"Zaria","19.GS.C2.UYT.36.setB.ZA","2019-June-24","2020-August-06",67
2019,"Zaria","19NCRP12yrtZA","2019-June-18",NA,0
2019,"Zaria","19NCRPZA","2019-July-22",NA,0
2020,"Ibadan","20.CMSSurveyVarieties.AYT.33.IB","2019-April-29",NA,0
2020,"Ibadan","20.GPR.AYT.6.CLAYEY.B16b.April.IB","2020-April-02",NA,0
2020,"Ibadan","20.GPR.AYT.6.CLAYEY.B16b.June.IB","2020-June-02",NA,0
2020,"Ibadan","20.GPR.AYT.6.CLAYEY.B16b.May.IB","2020-May-05",NA,0
2020,"Ibadan","20.GPR.AYT.6.SANDY.BS24.April.IB","2020-April-02",NA,0
2020,"Ibadan","20.GPR.AYT.6.SANDY.BS24.June.IB","2020-June-02",NA,0
2020,"Ibadan","20.GPR.AYT.6.SANDY.BS24.May.IB","2020-May-05",NA,0
2020,"Ibadan","20.GS.C1.C2.C3.UYT.30.IB",NA,NA,0
2020,"Ibadan","20.GS.C2.UYT.36.setA.IB",NA,NA,0
2020,"Ibadan","20.GS.C2.UYT.36.setB.IB",NA,NA,0
2020,"Ibadan","20.GS.C4B.AYT.40.IB",NA,NA,0
2020,"Ibadan","20.GS.C4B.AYT.42.IB",NA,NA,0
2020,"Ibadan","20.GS.C5.SN.IB",NA,NA,0
2020,"Ibadan","20.GS.C5.SN.IB_add",NA,NA,0
2020,"Ibadan","20AYT25HighTCIB","2020-August-14",NA,0
2020,"Ibadan","20geneticgainIB",NA,NA,0
2020,"Ibadan","20PYT24HighTCIB",NA,NA,0
2020,"Ibadan","20pyt26yrthighDMIB","2020-April-09",NA,0
2020,"Ibadan","20pyt28HighTCIB","2020-April-17",NA,0
2020,"Ibadan","20pyt32HighTCIB","2020-April-17",NA,0
2020,"Ibadan","20PYT34HighTCIB",NA,NA,0
2020,"Ibadan","20pyt42HTCbulkIB",NA,NA,0
2020,"Ibadan","20pyt42yrthighYldIB","2020-April-09",NA,0
2020,"Ibadan","20pyt46HighTCIB",NA,NA,0
2020,"Ibadan","20pyt48HighTCIB",NA,NA,0
2020,"Ibadan","20pyt64HighTCIB","2020-April-09",NA,0
2020,"Ikenne","20.CASS.PYT.52.IK",NA,NA,0
2020,"Ikenne","20.GPR.AYT.6.April.IK","2020-April-02",NA,0
2020,"Ikenne","20.GPR.AYT.6.June.IK","2020-June-08",NA,0
2020,"Ikenne","20.GPR.AYT.6.May.IK","2020-May-07",NA,0
2020,"Ikenne","20.GS.C1.C2.C3.UYT.30.IK",NA,NA,0
2020,"Ikenne","20.GS.C4B.AYT.40.IK",NA,NA,0
2020,"Ikenne","20.GS.C4B.AYT.42.IK",NA,NA,0
2020,"Ikenne","20NCRP12yrtIK",NA,NA,0
2020,"Ikenne","20NCRPIK",NA,NA,0
2020,"Kano","20.Intro_Lat_Ame_AYT66KN",NA,NA,0
2020,"Umudike","20.Intro_Lat_Ame_AYT66Umudike",NA,NA,0
